item	itemLabel	value	valueLabel
http://www.wikidata.org/entity/Q597663	universe	http://www.wikidata.org/entity/Q1	Universe
http://www.wikidata.org/entity/Q717956	Unisphere	http://www.wikidata.org/entity/Q1	Universe
http://www.wikidata.org/entity/Q1568570	Q1568570	http://www.wikidata.org/entity/Q1	Universe
http://www.wikidata.org/entity/Q1762451	Cosmos	http://www.wikidata.org/entity/Q1	Universe
http://www.wikidata.org/entity/Q1983903	kosmochlor	http://www.wikidata.org/entity/Q1	Universe
http://www.wikidata.org/entity/Q3248845	Omniverse	http://www.wikidata.org/entity/Q1	Universe
http://www.wikidata.org/entity/Q9032999	Miiverse	http://www.wikidata.org/entity/Q1	Universe
http://www.wikidata.org/entity/Q30892132	Q30892132	http://www.wikidata.org/entity/Q1	Universe
http://www.wikidata.org/entity/Q378695	geocronite	http://www.wikidata.org/entity/Q2	Earth
http://www.wikidata.org/entity/Q766321	Terra	http://www.wikidata.org/entity/Q2	Earth
http://www.wikidata.org/entity/Q982498	Earth	http://www.wikidata.org/entity/Q2	Earth
http://www.wikidata.org/entity/Q1203807	Earth ellipsoid	http://www.wikidata.org/entity/Q2	Earth
http://www.wikidata.org/entity/Q3759151	gearksutite	http://www.wikidata.org/entity/Q2	Earth
http://www.wikidata.org/entity/Q7273245	R-11 Zemlya	http://www.wikidata.org/entity/Q2	Earth
http://www.wikidata.org/entity/Q18030343	New Earth	http://www.wikidata.org/entity/Q2	Earth
http://www.wikidata.org/entity/Q28720523	Q28720523	http://www.wikidata.org/entity/Q2	Earth
http://www.wikidata.org/entity/Q64339357	Q64339357	http://www.wikidata.org/entity/Q2	Earth
http://www.wikidata.org/entity/Q12187	antibiotic	http://www.wikidata.org/entity/Q3	life
http://www.wikidata.org/entity/Q244615	Conway's Game of Life	http://www.wikidata.org/entity/Q3	life
http://www.wikidata.org/entity/Q422011	monazite	http://www.wikidata.org/entity/Q3	life
http://www.wikidata.org/entity/Q195232	The Death Match	http://www.wikidata.org/entity/Q4	death
http://www.wikidata.org/entity/Q326259	death march	http://www.wikidata.org/entity/Q4	death
http://www.wikidata.org/entity/Q488040	Lacus Mortis	http://www.wikidata.org/entity/Q4	death
http://www.wikidata.org/entity/Q1136401	Costa da Morte	http://www.wikidata.org/entity/Q4	death
http://www.wikidata.org/entity/Q1424697	Highway of Death	http://www.wikidata.org/entity/Q4	death
http://www.wikidata.org/entity/Q2438715	death squad	http://www.wikidata.org/entity/Q4	death
http://www.wikidata.org/entity/Q3391449	Q3391449	http://www.wikidata.org/entity/Q4	death
http://www.wikidata.org/entity/Q4391501	Cerro de la Muerte	http://www.wikidata.org/entity/Q4	death
http://www.wikidata.org/entity/Q9019419	Death in Spring	http://www.wikidata.org/entity/Q4	death
http://www.wikidata.org/entity/Q24021566	Q24021566	http://www.wikidata.org/entity/Q4	death
http://www.wikidata.org/entity/Q24021594	Q24021594	http://www.wikidata.org/entity/Q4	death
http://www.wikidata.org/entity/Q29592234	Death Mountain	http://www.wikidata.org/entity/Q4	death
http://www.wikidata.org/entity/Q57313228	Q57313228	http://www.wikidata.org/entity/Q4	death
http://www.wikidata.org/entity/Q829	Utah	http://www.wikidata.org/entity/Q5	human
http://www.wikidata.org/entity/Q101828	Ainu people	http://www.wikidata.org/entity/Q5	human
http://www.wikidata.org/entity/Q813440	Beausejour Stadium	http://www.wikidata.org/entity/Q5	human
http://www.wikidata.org/entity/Q1224219	dietrichite	http://www.wikidata.org/entity/Q5	human
http://www.wikidata.org/entity/Q1870264	parisite-(Ce)	http://www.wikidata.org/entity/Q5	human
http://www.wikidata.org/entity/Q2252707	ekanite	http://www.wikidata.org/entity/Q5	human
http://www.wikidata.org/entity/Q3565799	marshite	http://www.wikidata.org/entity/Q5	human
http://www.wikidata.org/entity/Q3616796	angelellite	http://www.wikidata.org/entity/Q5	human
http://www.wikidata.org/entity/Q3707332	dietzeite	http://www.wikidata.org/entity/Q5	human
