Model,Limit,Run,Acc
roberta-large,10,0,0.4920
roberta-large,10,1,0.5092
roberta-large,10,2,0.4931
roberta-large,10,3,0.4989
roberta-large,10,4,0.5080
roberta-large,10,5,0.5344
roberta-large,10,6,0.4679
roberta-large,10,7,0.5172
roberta-large,10,8,0.5195
roberta-large,10,9,0.4920
roberta-large,100,0,0.8268
roberta-large,100,1,0.7362
roberta-large,100,2,0.8245
roberta-large,100,3,0.7339
roberta-large,100,4,0.8050
roberta-large,100,5,0.7695
roberta-large,100,6,0.7924
roberta-large,100,7,0.7890
roberta-large,100,8,0.7901
roberta-large,100,9,0.7890
roberta-large,1000,0,0.8360
roberta-large,1000,1,0.8819
roberta-large,1000,2,0.7959
roberta-large,1000,3,0.8394
roberta-large,1000,4,0.8578
roberta-large,1000,5,0.8383
roberta-large,1000,6,0.8761
roberta-large,1000,7,0.8108
roberta-large,1000,8,-
roberta-large,1000,9,-
bert-base-cased,10,0,0.5757
bert-base-cased,10,1,0.5000
bert-base-cased,10,2,0.5011
bert-base-cased,10,3,0.5057
bert-base-cased,10,4,0.5344
bert-base-cased,10,5,0.5023
bert-base-cased,10,6,0.4954
bert-base-cased,10,7,0.5298
bert-base-cased,10,8,0.5631
bert-base-cased,10,9,0.4920
bert-base-cased,100,0,0.5619
bert-base-cased,100,1,0.5745
bert-base-cased,100,2,0.5872
bert-base-cased,100,3,0.5998
bert-base-cased,100,4,0.5390
bert-base-cased,100,5,0.6181
bert-base-cased,100,6,0.5642
bert-base-cased,100,7,0.4908
bert-base-cased,100,8,0.5768
bert-base-cased,100,9,0.5780
bert-base-cased,1000,0,0.7546
bert-base-cased,1000,1,0.7466
bert-base-cased,1000,2,0.7626
bert-base-cased,1000,3,0.7741
bert-base-cased,1000,4,0.7339
bert-base-cased,1000,5,0.7924
bert-base-cased,1000,6,0.7821
bert-base-cased,1000,7,0.7580
bert-base-cased,1000,8,0.7489
bert-base-cased,1000,9,0.7661
