Model,Limit,Run,Acc
bert-base-cased,10,0,0.4
bert-base-cased,10,1,0.359
bert-base-cased,10,2,0.499
bert-base-cased,10,3,0.341
bert-base-cased,10,4,0.532
bert-base-cased,10,5,0.481
bert-base-cased,10,6,0.401
bert-base-cased,10,7,0.341
bert-base-cased,10,8,0.42
bert-base-cased,10,9,0.499
bert-base-cased,100,0,0.551
bert-base-cased,100,1,0.4
bert-base-cased,100,2,0.52
bert-base-cased,100,3,0.34
bert-base-cased,100,4,0.355
bert-base-cased,100,5,0.439
bert-base-cased,100,6,0.429
bert-base-cased,100,7,0.364
bert-base-cased,100,8,0.415
bert-base-cased,100,9,0.364
bert-base-cased,1000,0,0.476
bert-base-cased,1000,1,0.462
bert-base-cased,1000,2,0.49
bert-base-cased,1000,3,0.53
bert-base-cased,1000,4,0.448
bert-base-cased,1000,5,0.551
bert-base-cased,1000,6,0.476
bert-base-cased,1000,7,0.528
bert-base-cased,1000,8,0.453
bert-base-cased,1000,9,0.462
roberta-large,10,0,0.551
roberta-large,10,1,0.546
roberta-large,10,2,0.542
roberta-large,10,3,0.4
roberta-large,10,4,0.462
roberta-large,10,5,0.509
roberta-large,10,6,0.55
roberta-large,10,7,0.55
roberta-large,10,8,0.55
roberta-large,10,9,0.55
roberta-large,100,0,0.579
roberta-large,100,1,0.55
roberta-large,100,2,0.588
roberta-large,100,3,0.53
roberta-large,100,4,0.607
roberta-large,100,5,0.588
roberta-large,100,6,0.607
roberta-large,100,7,0.556
roberta-large,100,8,0.56
roberta-large,100,9,0.584
roberta-large,1000,0,0.621
roberta-large,1000,1,0.649
roberta-large,1000,2,0.616
roberta-large,1000,3,0.602
roberta-large,1000,4,0.588
roberta-large,1000,5,0.668
roberta-large,1000,6,0.621
roberta-large,1000,7,0.602
roberta-large,1000,8,0.602
roberta-large,1000,9,0.593
