Model,Limit,Run,Acc
bert-base-cased,1000,0,0.8742
bert-base-cased,1000,1,0.8748
bert-base-cased,1000,2,0.8655
bert-base-cased,1000,3,0.8775
bert-base-cased,1000,4,0.8731
bert-base-cased,1000,5,0.8731
bert-base-cased,1000,6,0.8764
bert-base-cased,1000,7,0.8688
bert-base-cased,1000,8,0.866
bert-base-cased,1000,9,0.8528
bert-base-cased,100,0,0.7452
bert-base-cased,100,1,0.6914
bert-base-cased,100,2,0.6617
bert-base-cased,100,3,0.6518
bert-base-cased,100,4,0.7946
bert-base-cased,100,5,0.7122
bert-base-cased,100,6,0.7694
bert-base-cased,100,7,0.7803
bert-base-cased,100,8,0.7276
bert-base-cased,100,9,0.6749
bert-base-cased,10,0,0.4964
bert-base-cased,10,1,0.5036
bert-base-cased,10,2,0.4338
bert-base-cased,10,3,0.5151
bert-base-cased,10,4,0.5975
bert-base-cased,10,5,0.6222
bert-base-cased,10,6,0.642
bert-base-cased,10,7,0.5717
bert-base-cased,10,8,0.4964
bert-base-cased,10,9,0.4931
roberta-large,1000,0,0.9379
roberta-large,1000,1,0.9429
roberta-large,1000,2,0.9286
roberta-large,1000,3,0.9379
roberta-large,1000,4,0.9429
roberta-large,1000,5,0.9303
roberta-large,1000,6,0.9357
roberta-large,1000,7,0.9374
roberta-large,1000,8,0.9429
roberta-large,1000,9,0.9374
roberta-large,100,0,0.8753
roberta-large,100,1,0.8539
roberta-large,100,2,0.844
roberta-large,100,3,0.9138
roberta-large,100,4,0.8874
roberta-large,100,5,0.883
roberta-large,100,6,0.8704
roberta-large,100,7,0.8979
roberta-large,100,8,0.8567
roberta-large,100,9,0.9055
roberta-large,10,0,0.4992
roberta-large,10,1,0.4865
roberta-large,10,2,0.5448
roberta-large,10,3,0.5173
roberta-large,10,4,0.4997
roberta-large,10,5,0.5167
roberta-large,10,6,0.5157
roberta-large,10,7,0.4898
roberta-large,10,8,0.4964
roberta-large,10,9,0.4953
