Model,Limit,Run,Acc
bert-base-cased,1000,0,0.8781
bert-base-cased,1000,1,0.871
bert-base-cased,1000,2,0.8666
bert-base-cased,1000,3,0.8688
bert-base-cased,1000,4,0.8759
bert-base-cased,1000,5,0.8753
bert-base-cased,1000,6,0.8742
bert-base-cased,1000,7,0.871
bert-base-cased,1000,8,0.8534
bert-base-cased,1000,9,0.8583
bert-base-cased,100,0,0.5255
bert-base-cased,100,1,0.5684
bert-base-cased,100,2,0.5014
bert-base-cased,100,3,0.6035
bert-base-cased,100,4,0.6442
bert-base-cased,100,5,0.6705
bert-base-cased,100,6,0.5711
bert-base-cased,100,7,0.6211
bert-base-cased,100,8,0.4986
bert-base-cased,100,9,0.5453
bert-base-cased,10,0,0.4992
bert-base-cased,10,1,0.5036
bert-base-cased,10,2,0.4964
bert-base-cased,10,3,0.4882
bert-base-cased,10,4,0.57
bert-base-cased,10,5,0.5244
bert-base-cased,10,6,0.559
bert-base-cased,10,7,0.5783
bert-base-cased,10,8,0.4964
bert-base-cased,10,9,0.4959
roberta-large,1000,0,0.9374
roberta-large,1000,1,0.8946
roberta-large,1000,2,0.4964
roberta-large,1000,3,0.4997
roberta-large,1000,4,0.9231
roberta-large,1000,5,0.9248
roberta-large,1000,6,0.9171
roberta-large,1000,7,0.9407
roberta-large,1000,8,0.9347
roberta-large,1000,9,0.9132
roberta-large,100,0,0.5036
roberta-large,100,1,0.609
roberta-large,100,2,0.4964
roberta-large,100,3,0.4964
roberta-large,100,4,0.4959
roberta-large,100,5,0.4981
roberta-large,100,6,0.4964
roberta-large,100,7,0.4964
roberta-large,100,8,0.4964
roberta-large,100,9,0.497
roberta-large,10,0,0.4964
roberta-large,10,1,0.5036
roberta-large,10,2,0.5195
roberta-large,10,3,0.4964
roberta-large,10,4,0.5019
roberta-large,10,5,0.5019
roberta-large,10,6,0.5706
roberta-large,10,7,0.4964
roberta-large,10,8,0.4964
roberta-large,10,9,0.4997
