Model,Limit,Run,Acc
bert-base-cased,10,0,0.41
bert-base-cased,10,1,0.3505
bert-base-cased,10,2,0.3411
bert-base-cased,10,3,0.3271
bert-base-cased,10,4,0.3411
bert-base-cased,10,5,0.3505
bert-base-cased,10,6,0.3411
bert-base-cased,10,7,0.4019
bert-base-cased,10,8,0.4486
bert-base-cased,10,9,0.4766
bert-base-cased,100,0,0.4533
bert-base-cased,100,1,0.4065
bert-base-cased,100,2,0.4393
bert-base-cased,100,3,0.4533
bert-base-cased,100,4,0.3879
bert-base-cased,100,5,0.4159
bert-base-cased,100,6,0.4159
bert-base-cased,100,7,0.4299
bert-base-cased,100,8,0.4579
bert-base-cased,100,9,0.3879
bert-base-cased,1000,0,0.4533
bert-base-cased,1000,1,0.4486
bert-base-cased,1000,2,0.4346
bert-base-cased,1000,3,0.4393
bert-base-cased,1000,4,0.4393
bert-base-cased,1000,5,0.4439
bert-base-cased,1000,6,0.4579
bert-base-cased,1000,7,0.4393
bert-base-cased,1000,8,0.4486
bert-base-cased,1000,9,0.4486
roberta-large,10,0,0.3785
roberta-large,10,1,0.3411
roberta-large,10,2,0.3411
roberta-large,10,3,0.3271
roberta-large,10,4,0.3458
roberta-large,10,5,0.3411
roberta-large,10,6,0.3411
roberta-large,10,7,0.3411
roberta-large,10,8,0.3925
roberta-large,10,9,0.3411
roberta-large,100,0,0.3925
roberta-large,100,1,0.4019
roberta-large,100,2,0.3645
roberta-large,100,3,0.3411
roberta-large,100,4,0.3598
roberta-large,100,5,0.3879
roberta-large,100,6,0.3598
roberta-large,100,7,0.3832
roberta-large,100,8,0.3598
roberta-large,100,9,0.3411
roberta-large,1000,0,0.5187
roberta-large,1000,1,0.4533
roberta-large,1000,2,0.486
roberta-large,1000,3,0.486
roberta-large,1000,4,0.486
roberta-large,1000,5,0.486
roberta-large,1000,6,0.4533
roberta-large,1000,7,0.5047
roberta-large,1000,8,0.4533
roberta-large,1000,9,0.4533
