Model,Limit,Run,Acc
bert-base-cased,1000,0,0.5411
bert-base-cased,1000,1,0.5415
bert-base-cased,1000,2,0.5514
bert-base-cased,1000,3,0.5401
bert-base-cased,1000,4,0.5415
bert-base-cased,1000,5,0.5378
bert-base-cased,1000,6,0.5448
bert-base-cased,1000,7,0.5453
bert-base-cased,1000,8,0.5359
bert-base-cased,1000,9,0.5387
bert-base-cased,100,0,0.4963
bert-base-cased,100,1,0.4874
bert-base-cased,100,2,0.4655
bert-base-cased,100,3,0.4785
bert-base-cased,100,4,0.5056
bert-base-cased,100,5,0.4248
bert-base-cased,100,6,0.5191
bert-base-cased,100,7,0.4879
bert-base-cased,100,8,0.4683
bert-base-cased,100,9,0.4991
bert-base-cased,10,0,0.3371
bert-base-cased,10,1,0.4449
bert-base-cased,10,2,0.3511
bert-base-cased,10,3,0.3385
bert-base-cased,10,4,0.3305
bert-base-cased,10,5,0.3371
bert-base-cased,10,6,0.3371
bert-base-cased,10,7,0.3371
bert-base-cased,10,8,0.3375
bert-base-cased,10,9,0.3305
roberta-large,1000,0,0.5621
roberta-large,1000,1,0.5766
roberta-large,1000,2,0.5794
roberta-large,1000,3,0.5906
roberta-large,1000,4,0.584
roberta-large,1000,5,0.5798
roberta-large,1000,6,0.3371
roberta-large,1000,7,0.5812
roberta-large,1000,8,0.5934
roberta-large,1000,9,0.5766
roberta-large,100,0,0.359
roberta-large,100,1,0.5528
roberta-large,100,2,0.5761
roberta-large,100,3,0.5112
roberta-large,100,4,0.3529
roberta-large,100,5,0.5233
roberta-large,100,6,0.5191
roberta-large,100,7,0.5261
roberta-large,100,8,0.3371
roberta-large,100,9,0.5098
roberta-large,10,0,0.3371
roberta-large,10,1,0.3707
roberta-large,10,2,0.3371
roberta-large,10,3,0.3371
roberta-large,10,4,0.3305
roberta-large,10,5,0.3371
roberta-large,10,6,0.3371
roberta-large,10,7,0.3366
roberta-large,10,8,0.3357
roberta-large,10,9,0.3305
