Model,Limit,Run,Acc
bert-base-cased,1000,0,0.5266
bert-base-cased,1000,1,0.5331
bert-base-cased,1000,2,0.5397
bert-base-cased,1000,3,0.5373
bert-base-cased,1000,4,0.5439
bert-base-cased,1000,5,0.5448
bert-base-cased,1000,6,0.5495
bert-base-cased,1000,7,0.5322
bert-base-cased,1000,8,0.5401
bert-base-cased,1000,9,0.535
bert-base-cased,100,0,0.4556
bert-base-cased,100,1,0.4921
bert-base-cased,100,2,0.4122
bert-base-cased,100,3,0.4855
bert-base-cased,100,4,0.4911
bert-base-cased,100,5,0.3637
bert-base-cased,100,6,0.4556
bert-base-cased,100,7,0.4034
bert-base-cased,100,8,0.338
bert-base-cased,100,9,0.4575
bert-base-cased,10,0,0.3609
bert-base-cased,10,1,0.4136
bert-base-cased,10,2,0.4006
bert-base-cased,10,3,0.3371
bert-base-cased,10,4,0.3305
bert-base-cased,10,5,0.3371
bert-base-cased,10,6,0.3371
bert-base-cased,10,7,0.3371
bert-base-cased,10,8,0.3305
bert-base-cased,10,9,0.3305
roberta-large,1000,0,0.3371
roberta-large,1000,1,0.55
roberta-large,1000,2,0.4795
roberta-large,1000,3,0.3371
roberta-large,1000,4,0.3371
roberta-large,1000,5,0.3371
roberta-large,1000,6,0.3371
roberta-large,1000,7,0.3371
roberta-large,1000,8,0.5299
roberta-large,1000,9,0.3371
roberta-large,100,0,0.3371
roberta-large,100,1,0.4561
roberta-large,100,2,0.3371
roberta-large,100,3,0.3371
roberta-large,100,4,0.345
roberta-large,100,5,0.3371
roberta-large,100,6,0.4094
roberta-large,100,7,0.3371
roberta-large,100,8,0.3371
roberta-large,100,9,0.3371
roberta-large,10,0,0.3371
roberta-large,10,1,0.3431
roberta-large,10,2,0.3371
roberta-large,10,3,0.3371
roberta-large,10,4,0.3305
roberta-large,10,5,0.3371
roberta-large,10,6,0.3371
roberta-large,10,7,0.3371
roberta-large,10,8,0.3371
roberta-large,10,9,0.3305
