Dataset,Model,Triggers,Candidates,Labels,Acc
SST-2,roberta-large,3,100,1,81
SST-2,roberta-large,3,100,3,89.1
SST-2,roberta-large,3,100,5,89
SST-2,roberta-large,3,10,1,75.9
SST-2,roberta-large,3,10,3,84.3
SST-2,roberta-large,3,10,5,87.7
SST-2,roberta-large,4,100,1,80.7
SST-2,roberta-large,4,100,3,89.9
SST-2,roberta-large,4,100,5,89.4
SST-2,roberta-large,4,10,1,77.6
SST-2,roberta-large,4,10,3,83.8
SST-2,roberta-large,4,10,5,85.8
SST-2,roberta-large,5,100,1,78.7
SST-2,roberta-large,5,100,3,91.2
SST-2,roberta-large,5,100,5,89.1
SST-2,roberta-large,5,10,1,76.5
SST-2,roberta-large,5,10,3,74
SST-2,roberta-large,5,10,5,90.5
SST-2,roberta-large,6,100,1,78.7
SST-2,roberta-large,6,100,3,90.8
SST-2,roberta-large,6,100,5,90.8
SST-2,roberta-large,6,10,1,75.7
SST-2,roberta-large,6,10,3,89.4
SST-2,roberta-large,6,10,5,88.9
SST-2,bert-base-cased,3,100,1,76.61
SST-2,bert-base-cased,3,100,3,79.01
SST-2,bert-base-cased,3,100,5,79.59
SST-2,bert-base-cased,3,10,1,70.3
SST-2,bert-base-cased,3,10,3,76.95
SST-2,bert-base-cased,3,10,5,72.59
SST-2,bert-base-cased,4,100,1,73.51
SST-2,bert-base-cased,4,100,3,74.31
SST-2,bert-base-cased,4,100,5,77.87
SST-2,bert-base-cased,4,10,1,70.18
SST-2,bert-base-cased,4,10,3,77.06
SST-2,bert-base-cased,4,10,5,78.21
SST-2,bert-base-cased,5,100,1,76.94
SST-2,bert-base-cased,5,100,3,79.82
SST-2,bert-base-cased,5,100,5,80.26
SST-2,bert-base-cased,5,10,1,72.71
SST-2,bert-base-cased,5,10,3,77.64
SST-2,bert-base-cased,5,10,5,78.1
SST-2,bert-base-cased,6,100,1,73.85
SST-2,bert-base-cased,6,100,3,80.1
SST-2,bert-base-cased,6,100,5,80.85
SST-2,bert-base-cased,6,10,1,75.11
SST-2,bert-base-cased,6,10,3,75.46
SST-2,bert-base-cased,6,10,5,77.64
